trip_id,trip_start_timeslot,trip_start_timestamp,trip_end_timestamp,duration,distance,origin_ward,dest_ward,origin_lat,origin_long,dest_lat,dest_long,age_range,income_range
0,400,2020-09-20T04:00:00.000,2020-09-20T04:06:36.499,6.304164858481143,5.253470715400953,20,27,43.640756820774996,-79.3813226571136,43.68759891727697,-79.37280518485215,21-30,100-125K
1,400,2020-09-20T04:01:00.000,2020-09-20T04:03:30.700,2.255835282828943,1.879862735690786,20,27,43.664528397554804,-79.39593633509254,43.65891335968655,-79.37389365659854,21-30,100-125K
2,400,2020-09-20T04:01:00.000,2020-09-20T04:11:55.570,9.963085139491676,8.302570949576397,19,11,43.66274623860691,-79.41415836270947,43.698958714863245,-79.50444858621489,21-30,40-60K
3,400,2020-09-20T04:01:00.000,2020-09-20T04:11:16.986,10.14155615132325,8.451296792769375,19,11,43.64340832127795,-79.41461253606091,43.68332300790542,-79.5040223115516,21-30,40-60K
4,400,2020-09-20T04:03:00.000,2020-09-20T04:15:46.992,12.391606268125683,10.326338556771402,20,6,43.640491016708935,-79.39240291945622,43.59710717375278,-79.50582364693418,41-50,15-40K
5,400,2020-09-20T04:03:00.000,2020-09-20T04:07:40.548,4.337905189226881,3.614920991022401,20,20,43.638549105603175,-79.39953526969715,43.67011601301304,-79.41027823260681,31-40,UNK
6,400,2020-09-20T04:03:00.000,2020-09-20T04:06:15.643,2.6303596370088496,2.1919663641740414,20,27,43.65672829713747,-79.39862392118044,43.67615723441079,-79.39401569659162,21-30,100-125K
7,400,2020-09-20T04:03:00.000,2020-09-20T04:07:12.951,4.1079272804787355,3.42327273373228,20,20,43.66530751808856,-79.40349915828867,43.6348646063806,-79.39716267022142,31-40,UNK
8,400,2020-09-20T04:04:00.000,2020-09-20T04:11:48.867,6.9072329524110385,5.756027460342532,20,27,43.6381324098798,-79.3971763607855,43.68560516255358,-79.36864668877428,21-30,100-125K
9,400,2020-09-20T04:04:00.000,2020-09-20T04:18:32.175,14.268132223715968,11.890110186429974,20,6,43.66696115780093,-79.41856519191533,43.61236804819295,-79.54561326048929,41-50,15-40K
