trip_id,trip_start_timeslot,trip_start_timestamp,trip_end_timestamp,duration,distance,origin_ward,dest_ward,origin_lat,origin_long,dest_lat,dest_long,age_range,income_range
0,400,2020-09-20T04:01:00.000,2020-09-20T04:08:16.918,6.640986431899934,5.534155359916612,20,27,43.643036399129414,-79.39377610831667,43.69210844910706,-79.3822949875132,21-30,100-125K
1,400,2020-09-20T04:02:00.000,2020-09-20T04:16:44.607,13.871726053998911,11.559771711665759,19,11,43.645547054546945,-79.40935881855586,43.70687024410139,-79.52542693625881,21-30,40-60K
2,400,2020-09-20T04:02:00.000,2020-09-20T04:06:27.549,3.729575163633475,3.107979303027896,20,27,43.66805835883366,-79.4134652167731,43.66259102362594,-79.37557282586728,21-30,100-125K
3,400,2020-09-20T04:02:00.000,2020-09-20T04:13:37.626,10.813554710512323,9.011295592093601,19,11,43.63402797347471,-79.41248566561686,43.671505296310094,-79.5117953128566,21-30,40-60K
4,400,2020-09-20T04:05:00.000,2020-09-20T04:07:56.299,2.469165021442914,2.057637517869095,20,20,43.64193514638571,-79.39800934913241,43.660127438907274,-79.39332921605681,31-40,UNK
5,400,2020-09-20T04:05:00.000,2020-09-20T04:16:45.310,11.37758412136581,9.481320101138175,20,6,43.67327501388855,-79.41140142179958,43.61367158792958,-79.49566240088186,41-50,15-40K
6,400,2020-09-20T04:05:00.000,2020-09-20T04:07:22.380,1.6865009504087984,1.4054174586739987,20,27,43.65852146516515,-79.39377720911257,43.6662295180132,-79.3799307984044,21-30,100-125K
7,430,2020-09-20T04:30:00.000,2020-09-20T04:42:43.793,12.36494448705338,10.304120405877818,35,27,43.720709203416114,-79.27029350751755,43.6756112385333,-79.38226329742186,51-60,UNK
8,430,2020-09-20T04:30:00.000,2020-09-20T04:45:04.815,14.540132025266034,12.116776687721694,35,27,43.73150612044807,-79.24504683980997,43.67901424486378,-79.37714248480599,51-60,UNK
9,430,2020-09-20T04:32:00.000,2020-09-20T04:45:49.178,12.909819560746085,10.758182967288404,35,27,43.72629743787677,-79.2619611912224,43.674423827759426,-79.37492548218174,51-60,UNK
10,430,2020-09-20T04:33:00.000,2020-09-20T04:45:49.180,12.409834458398935,10.341528715332446,35,27,43.712937086051014,-79.2784214879041,43.655208165189265,-79.37925414908422,51-60,UNK
11,430,2020-09-20T04:33:00.000,2020-09-20T04:45:54.367,11.953065901524004,9.960888251270003,35,27,43.70948670319747,-79.26452445264377,43.68855278736949,-79.38499833547866,51-60,UNK
